         1 | Adventures in Babysitting | 1987 | 1204, 1288, 1289, 1290, 1127, 1053, 1143, 1149, 1722
         2 | Chaplin | 1992 | 1064, 1103, 1009, 1143, 1118, 1040, 1225, 1065, 1121, 1116, 1687, 1787, 1166, 1310, 1309, 1114, 1244
         3 | How to Make an American Quilt | 1995 | 1191, 1364, 1031, 1146, 1243, 1420, 1421, 1034, 1352, 1012, 1250, 1226, 1081, 1252, 1207, 1546, 1335, 1293, 1152, 1260
         4 | Son in Law | 1993 | 1314, 1089, 1210, 1165, 1001, 1177, 1030, 1677
         5 | Spy Hard | 1996 | 1150, 1202, 1068, 1092, 1026, 1353, 1087, 1400, 1077, 1409
         6 | Tommy Boy | 1995 | 1298, 1327, 1062, 1312, 1388, 1383, 1629, 1009, 1061, 1131
         7 | Picture Perfect | 1997 | 1297, 1264, 1010, 1066, 1320, 1787, 1456, 1368, 1187, 1539
         8 | Armageddon | 1998 | 1240, 1294, 1283, 1254, 1160, 1032, 1073, 1262, 1340, 1220, 1056
         9 | Lost in Space | 1998 | 1156, 1107, 1307, 1184, 1085, 1269, 1754, 1095, 1349, 1130, 1076, 1375
        10 | The Odd Couple II | 1998 | 1124, 1136, 1014, 1206, 1311, 1331, 1422, 1532
        11 | Practical Magic | 1998 | 1029, 1117, 1039, 1237, 1351, 1173, 1273, 1665, 1403, 1378, 1276
        12 | Babe: Pig in the City | 1998 | 1277, 1048, 1704, 1185, 1055, 1564, 1098, 1415, 1374, 1246, 1700
        13 | Small Soldiers | 1998 | 1067, 1113, 1264, 1249, 1096, 1787, 1302, 1024, 1122
        14 | Mickey's Once Upon a Christmas | 1999 | 1086, 1563, 1489, 1595, 1596, 1408, 1357, 1464, 1613, 1247, 1296, 1494
        15 | An Extremely Goofy Movie | 1999 | 1357, 1358, 1296, 1247, 1396, 1397, 1148, 1457, 1314, 1398, 1359, 1399
        16 | The Legend of Bagger Vance | 2000 | 1211, 1318, 1266, 1140, 1509, 1124, 1633, 1210, 1467, 1543, 1390, 1369, 1171, 1401
        17 | The Wedding Planner | 2001 | 1285, 1253, 1241, 1426, 1272, 1183, 1080, 1463, 1169, 1402, 1517
        18 | The Crucible | 1996 | 1059, 1191, 1197, 1004, 1058, 1341, 1111, 1229, 1432, 1385, 1433, 1434, 1079, 1435, 1348
        19 | Toys | 1992 | 1239, 1078, 1050, 1306, 1303, 1153, 1134, 1231, 1137, 1752
        20 | The Curse of the Jade Scorpion | 2001 | 1005, 1009, 1106, 1266, 1021, 1382, 1196, 1304, 1219, 1446, 1190, 1553, 1430
        21 | Serendipity | 2001 | 1051, 1018, 1330, 1167, 1046, 1458, 1128, 1496
        22 | Three Fugitives | 1989 | 1151, 1203, 1471, 1110, 1188, 1437, 1466, 1140, 1442, 1180
        23 | Balto 2: Wolf Quest | 2001 | 1424, 1367, 1269, 1037, 1090, 1321, 1427, 1457, 1568, 1808
        24 | Back to the Secret Garden | 2002 | 1276, 1168, 1316, 1377, 1473, 1768, 1769, 1394
        25 | Prefontaine | 1997 | 1260, 1070, 1365, 1141, 1049, 1300, 1317, 1737, 1209
        26 | Tarzan & Jane | 2002 | 1233, 1052, 1296, 1247, 1429, 1338, 1499, 1460, 1485, 1470, 1202, 1486
        27 | The Recruit | 2003 | 1159, 1389, 1458, 1371, 1519, 1538, 1545, 1337, 1533
        28 | Atlantis: Milo's Return | 2003 | 1534, 1398, 1133, 1279, 1436, 1464, 1391, 1360, 1295, 1535, 1028, 1536
        29 | Stitch! The Movie | 2003 | 1447, 1511, 1322, 1219, 1319, 1178, 1556, 1423, 1296, 1464
        30 | Milk Money | 1994 | 1088, 1093, 1550, 1139, 1099, 1205, 1025, 1551, 1120, 1492
        31 | The Manhattan Project | 1986 | 1129, 1324, 1370, 1490, 1133, 1126
        32 | Mona Lisa Smile | 2003 | 1182, 1067, 1282, 1468, 1217, 1350, 1561, 1440, 1372, 1092
        33 | Winnie the Pooh: Springtime with Roo | 2004 | 1219, 1247, 1343, 1214, 1344, 1576
        34 | The Three Musketeers | 2004 | 1595, 1357, 1563, 1489, 1408, 1247, 1429, 1296, 1424, 1457
        35 | Mickey's Twice Upon a Christmas | 2004 | 1563, 1595, 1296, 1247, 1357, 1408, 1482, 1438
        36 | Balto 3: Wings of Change | 2004 | 1424, 1008, 1038, 1321, 1367, 1455, 1621, 1323, 1161, 1331
        37 | Dutch | 1991 | 1365, 1257, 1238, 1286, 1528, 1055, 1522, 1384
        38 | Elizabethtown | 2005 | 1518, 1067, 1194, 1013, 1140, 1272, 1450, 1524, 1575, 1195, 1392
        39 | Tarzan 2 | 2005 | 1513, 1035, 1396, 1164, 1094, 1042, 1100, 1614, 1632
        40 | Chicken Little | 2005 | 1581, 1050, 1218, 1263, 1154, 1200, 1234, 1119, 1530, 1135, 1361, 1402, 1304
        41 | Looking for Richard | 1996 | 1159, 1544, 1605, 1191, 1013, 1215, 1173, 1044, 1639, 1404, 1245, 1640, 1641
        42 | Superman Returns | 2006 | 1587, 1488, 1215, 1270, 1251, 1122, 1308, 1192, 1027, 1439
        43 | Curious George | 2006 | 1268, 1015, 1128, 1295, 1228, 1476, 1168, 1155
        44 | American Dreamz | 2006 | 1315, 1172, 1418, 1054, 1292, 1366, 1716, 1092, 1643, 1412, 1272, 1407, 1695
        45 | Ultimate Avengers: The Movie | 2006 | 1762, 1499, 1503, 1052, 1577, 1778, 1698, 1729, 1770
        46 | The Invasion | 2007 | 1117, 1047, 1261, 1656, 1345, 1036, 1213, 1431, 1782, 1655
        47 | Leroy & Stitch | 2006 | 1447, 1511, 1219, 1319, 1322, 1423, 1457, 1296, 1525, 1178, 1552
        48 | Ultimate Avengers 2 | 2006 | 1762, 1499, 1503, 1577, 1052, 1778, 1698, 1729, 1770, 1630
        49 | Stomp the Yard | 2007 | 1634, 1452, 1660, 1497, 1566, 1567, 1707, 1612, 1652, 1625, 1504
        50 | The Cheetah Girls 2 | 2006 | 1602, 1591, 1593, 1592, 1672, 1747, 1500, 1748, 1236, 1749
        51 | The Fox and the Hound 2 | 2006 | 1413, 1221, 1600, 1632, 1379, 1502, 1186, 1247, 1214, 1779
        52 | Read It and Weep | 2006 | 1618, 1484, 1745, 1746, 1693, 1664, 1688, 1574, 1657, 1445, 1498
        53 | The Invincible Iron Man | 2007 | 1577, 1649, 1630, 1735, 1703, 1611, 1410, 1515, 1416
        54 | Doctor Strange | 2007 | 1571, 1423, 1598, 1630, 1486, 1414, 1733, 1744
        55 | Tinker Bell | 2008 | 1255, 1354, 1602, 1362, 1505, 1104, 1624, 1296, 1457, 1198, 1108, 1637, 1542, 1323, 1170
        56 | Flash of Genius | 2008 | 1259, 1274, 1352, 1002, 1212, 1333, 1355, 1493, 1662, 1199, 1520
        57 | Garfield's Fun Fest | 2008 | 1295, 1045, 1494, 1588, 1608, 1630, 1726, 1529, 1582, 1686
        58 | The Unborn | 2009 | 1751, 1156, 1697, 1452, 1565, 1003, 1732, 1176, 1089, 1658
        59 | Fighting | 2009 | 1617, 1679, 1676, 1684, 1566, 1706, 1724, 1620, 1541, 1395
        60 | Hannah Montana: The Movie | 2009 | 1670, 1516, 1459, 1645, 1647, 1671, 1589, 1271, 1406, 1248
        61 | We're Back! A Dinosaur's Story | 1993 | 1347, 1084, 1719, 1162, 1125, 1720, 1547, 1321, 1721, 1615, 1332
        62 | I Hate Valentine's Day | 2009 | 1405, 1046, 1701, 1692, 1712, 1696, 1216, 1638, 1549, 1537, 1193
        63 | Tinker Bell and the Lost Treasure | 2009 | 1255, 1624, 1104, 1362, 1602, 1354, 1784, 1457, 1296, 1499
        64 | Christmas Is Here Again | 2007 | 1125, 1007, 1017, 1653, 1619, 1396, 1087, 1112, 1278, 1355, 1334
        65 | The Way | 2010 | 1201, 1673, 1557, 1147, 1287, 1678, 1659, 1356, 1071
        66 | Tinker Bell and the Great Fairy Rescue | 2010 | 1255, 1801, 1495, 1198, 1362, 1602, 1354, 1784, 1457, 1296
        67 | The Hero of Color City | 2014 | 1179, 1329, 1163, 1583, 1428, 1008, 1262, 1055, 1579, 1501, 1803, 1339
        68 | Dream House | 2011 | 1047, 1441, 1267, 1454, 1003, 1305, 1717, 1743, 1740, 1510
        69 | Beverly Hills Chihuahua 2 | 2011 | 1739, 1668, 1023, 1157, 1491, 1453, 1479, 1469, 1448, 1751, 1072, 1105, 1708, 1788, 1516, 1683, 1786, 1386, 1063, 1705, 1142, 1789, 1606
        70 | The Three Musketeers | 2011 | 1558, 1114, 1472, 1474, 1728, 1523, 1767, 1506, 1667, 1766, 1518, 1622
        71 | The Cold Light Of Day | 2012 | 1449, 1232, 1240, 1731, 1682, 1082, 1710, 1725
        72 | Extremely Loud and Incredibly Close | 2011 | 1091, 1029, 1758, 1507, 1084, 1345, 1223, 1525, 1690
        73 | Moonrise Kingdom | 2012 | 1763, 1764, 1240, 1291, 1145, 1138, 1222, 1280, 1011, 1115
        74 | Beverly Hills Chihuahua 3: Viva La Fiesta! | 2012 | 1033, 1072, 1105, 1269, 1336, 1386, 1448, 1484, 1516, 1590, 1668, 1683, 1689, 1739, 1751, 1786
        75 | The Impossible | 2012 | 1441, 1301, 1795, 1772, 1773, 1642, 1785, 1040
        76 | Unconditional | 2012 | 1616, 1514, 1140, 1685, 1648, 1373, 1820, 1776, 1792, 1821
        77 | Lee Daniels' The Butler | 2013 | 1235, 1242, 1051, 1074, 1083, 1679, 1381, 1270, 1572, 1181, 1265, 1239, 1328, 1654, 1174, 1585, 1761
        78 | Salinger | 2013 | 1102, 1201, 1461, 1230, 1559, 1060, 1227, 1741, 1527
        79 | Mandela: Long Walk to Freedom | 2013 | 1565, 1540, 1607, 1791, 1730, 1814, 1628, 1759, 1661, 1756, 1644
        80 | The Face of Love | 2013 | 1019, 1093, 1239, 1256, 1674, 1627, 1816
        81 | Curious George: A Halloween Boo Fest | 2013 | 1295, 1296, 1483, 1247
        82 | Diana | 2013 | 1441, 1006, 1380, 1101, 1411, 1419, 1217, 1794
        83 | St. Vincent | 2014 | 1145, 1586, 1441, 1694, 1679, 1802, 1555, 1663, 1804, 1636, 1477, 1753
        84 | Curious George: A Very Monkey Christmas | 2009 | 1295, 1296, 1475, 1247, 1055, 1499, 1342, 1425, 1393, 1757
        85 | HairBrained | 2013 | 1299, 1680, 1750, 1251, 1376, 1760, 1797, 1798, 1796, 1548
